year,rmse,mse_model,mse_ref,skill,n
1999,2.466696793948414,6.084593073275384,4.477455408228892,-0.35893995998102257,1
2000,3.3687580422738654,11.348530747384846,12.281385053954876,0.07595676729227141,8600
2001,3.7642920471031758,14.169894615884218,14.658589081801246,0.03333843818050308,8723
2002,3.473070098687542,12.062215910397493,12.237645967795775,0.014335278031407217,8499
2003,4.270591508366282,18.237951831330193,19.600776064595465,0.06952909562223497,8656
2004,3.5577581850078768,12.657643302990543,12.817636167196586,0.012482244161017952,8707
2005,3.963858920648325,15.712177542803303,15.763384071752776,0.003248447713789626,8610
2006,3.8541707190307295,14.85463193143385,15.713130163277109,0.05463572330417277,8745
2007,3.8391336633336346,14.738947284941533,15.838651965053694,0.06943170937391285,8759
2008,3.448776212313663,11.894057362620577,12.637652940770321,0.05883968974577791,8759
2009,3.5127513104471095,12.339421769047885,13.316603212652515,0.07338068334694992,8759
2010,4.206783858954113,17.697030435956858,18.560926075576056,0.04654377890960848,8759
2011,3.688066086636504,13.601831459398294,14.088920857238994,0.034572512882733,8759
2012,3.9961894962069278,15.96953048959458,16.32638868331816,0.021857754378236005,8759
2013,3.94207525074104,15.539957282505034,16.030789532820943,0.030618095840569515,8758
2014,3.1279231254074675,9.783903078458819,9.76314314365932,-0.002126357720462213,8759
2015,3.715698549230016,13.806415708750043,14.42831263790645,0.04310254045386719,8759
2016,3.4783398949913713,12.098848425088583,12.6001207402037,0.03978313584850712,8758
2017,3.7377709539672956,13.970931704321588,14.099854692314409,0.009143568554865644,8759
2018,4.040165950428408,16.32294090700108,16.881442599277275,0.03308376573813099,8619
2019,3.5338911011927583,12.488386315089365,12.967565502081639,0.03695213160213873,8759
2020,3.789978532800988,14.363937279092328,14.627206492913356,0.017998598293431978,8753
2021,3.619228163791937,13.098812501584757,13.197846591242865,0.00750380669857309,8759
2022,3.8482337872717536,14.808903281499903,14.518016795014434,-0.020036241216180528,8759
2023,3.754783741585523,14.09840094607498,14.19022318607758,0.006470810134451499,8758
2024,3.5813311456143353,12.825932774547288,13.397760550645616,0.04268084758917212,8759
2025,3.485819616388509,12.15093839799893,12.673199299453735,0.0412098704608328,7323
global,3.725729962629606,13.881063754436004,14.364396653728752,0.03364797777059991,225377
