year,rmse,mse_model,mse_ref,skill,n
1999,0.10358366517361839,0.010729575690800283,0.6209439170537026,0.9827205398166863,1
2000,3.6871552140218955,13.59511357228885,14.151906796301395,0.039344042610432006,8683
2001,4.092711358005903,16.75028625995052,17.383917442613562,0.03644927472502879,8676
2002,4.142934194076049,17.16390373644456,17.692264725327107,0.029863954506976098,8680
2003,4.3260096369923575,18.71435937935075,19.74926298355367,0.05240213799698468,8695
2004,3.8299939309665856,14.66885351124088,14.85392750366808,0.01245959981839806,8710
2005,4.2344400529746125,17.930482562235635,17.869828591169497,-0.0033942111283657983,8732
2006,4.229810755868951,17.89129903046467,19.27127544328775,0.07160794400371306,8759
2007,4.378219303448794,19.16880426909164,20.423881161211327,0.06145143923493368,8759
2008,3.7931691257362057,14.38813201643837,15.002872613133118,0.04097485945169066,8757
2009,3.8888456613663127,15.123120577927594,16.143731429193267,0.06322025708505452,8759
2010,4.296563745120386,18.460460015882916,19.336930483164252,0.045326245964654954,8759
2011,3.9068961993483895,15.26383791248289,16.084447406430403,0.051018817943315975,8757
2012,4.1725899579032735,17.410506956795242,17.69596760030388,0.01613139501361527,8759
2013,4.1538097848619895,17.25413572881521,17.45933747918229,0.011753123542732058,8756
2014,3.5083666593371663,12.308636616348629,12.695008142404566,0.030434917545689277,8758
2015,3.992625421620439,15.941057757369789,17.062894698461932,0.06574716429523919,8759
2016,3.7333177066619987,13.937661098876006,14.38010210704515,0.03076758460236395,8757
2017,3.9743610210000235,15.795545525244348,16.046883918978526,0.015662753903075366,8757
2018,4.076547135827104,16.618236550620164,17.31709379571672,0.04035649707397282,8758
2019,3.8075253668164546,14.497249418950776,15.018217213604181,0.03468905711268366,8758
2020,4.0785318377119895,16.634421951230337,16.9641970209796,0.01943947416676617,8759
2021,3.9041992014290585,15.2427714044393,15.167767006388582,-0.004944986168308407,8748
2022,4.159064248953317,17.29781542692162,16.978899250918236,-0.018783089014803966,8756
2023,4.1446578445956375,17.178188648768153,17.301221035089,0.007111196722550561,8758
2024,3.928392992498542,15.432271503511652,16.377828292471737,0.0577339542260753,8759
2025,3.6509157493791067,13.329185809064404,13.787910083102767,0.033270036667887415,7322
global,4.011708167637128,16.093802422286444,16.641367858180306,0.03290387187881916,225891
