year,rmse,mse_model,mse_ref,skill,n
1999,3.276989106627072,10.738657604952495,5.992705836158894,-0.7919547360655339,1
2000,3.5865818910328877,12.863569661085046,13.582677316094873,0.05294299778127809,8618
2001,4.155193362291628,17.265631878032405,17.66178264268786,0.022429829008198454,8596
2002,3.55678473499604,12.65071765110085,12.763065039373954,0.008802539823037248,8587
2003,3.911958074291537,15.303415975014751,16.159699829990544,0.05298884657415659,8568
2004,3.5699480436098905,12.744529034074084,13.062892398788604,0.024371582877314668,8602
2005,4.2185375655953905,17.79605919233948,18.02175560312094,0.012523552962974027,8747
2006,3.604440469068583,12.991991095059348,13.696516082717203,0.05143826235832716,8741
2007,4.1164930336459165,16.94551489605536,17.800391306746267,0.048025708871181516,8751
2008,3.470205450660606,12.042325869794581,12.470376963355733,0.034325433370537395,8757
2009,3.492228151391555,12.19565746137168,12.630350836282904,0.03441657168085088,8759
2010,4.139930154846864,17.139021687010377,17.840146308043735,0.03930038514971346,8757
2011,3.6158230792862214,13.074176540698891,13.958191914085287,0.06333308632146906,8759
2012,4.1811691484766556,17.482175448173003,17.56631154812977,0.004789628131451784,8759
2013,3.904935491519096,15.248521192925484,16.085864348710672,0.05205459511737731,8758
2014,3.4423279151237516,11.849621475240234,12.260901718535159,0.03354404535134481,8759
2015,3.724415811509646,13.871273137023055,14.187450099214324,0.022285679243289724,8756
2016,3.2358880134890375,10.47097123584203,11.035809228533301,0.05118229039614697,8759
2017,3.8332801330779627,14.694036578650202,14.883613210527416,0.012737272139209055,8747
2018,3.5860462673441185,12.859727831532686,13.47656846451958,0.04577134265379801,8759
2019,3.591833413779041,12.901267272339599,13.813559153958165,0.06604321677351033,8756
2020,3.5925540894217916,12.906444885421237,13.850932731559482,0.06818947607667025,8759
2021,3.5910029369677434,12.89530209331096,13.26191450748013,0.027644003734331846,8757
2022,4.244387888128042,18.01482854488802,18.267633880508225,0.01383897538530987,8753
2023,3.734841655001305,13.949042187932887,13.929622148835149,-0.0013941540474133873,8756
2024,3.543477563063554,12.556233239934825,13.260775640728363,0.05312980325446792,8739
2025,3.7331624205758294,13.936501658399587,14.42826797667394,0.03408353095946004,7321
global,3.7552948714035894,14.102239571190099,14.614310108360204,0.03503898120220994,225381
